7zip 24.09-3
neon 0.34.2-1
neovim 0.11.2-3
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
networkmanager-qt 6.15.0-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.2.0-1
nodejs-lts-iron 20.19.3-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
npm 11.4.2-1
npth 1.8-1
nspr 4.36-1
nss 3.113.1-1
ntfs-3g 2022.10.3-2
nvidia-dkms 575.64.03-1
nvidia-utils 575.64.03-1
ocean-sound-theme 6.4.2-1
ocl-icd 2.3.3-1
onetbb 2022.2.0-1
openal 1.24.3-1
opencc 1.1.8-2
opencore-amr 0.1.6-2
opencv 4.12.0-1
openexr 3.3.4-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.1-1
openxr 1.1.43-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
oxygen 6.4.2-1
oxygen-sounds 6.4.2-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20250702-2
pahole 1:1.30-2
pam 1.7.1-1
pambase 20230918-2
pango 1:1.56.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.40.2-1
perl-error 0.17030-1
perl-mailtools 2.22-1
perl-timedate 2.33-7
phonon-qt6 4.12.0-4
phonon-qt6-mpv 0.1.0-3
pinentry 1.3.1-5
pipewire 1:1.4.6-1
pipewire-alsa 1:1.4.6-1
pipewire-audio 1:1.4.6-1
pipewire-jack 1:1.4.6-1
pipewire-pulse 1:1.4.6-1
pixman 0.46.2-1
pkgconf 2.5.1-1
plasma-activities 6.4.2-1
plasma-activities-stats 6.4.2-1
plasma-browser-integration 6.4.2-1
plasma-desktop 6.4.2-1
plasma-disks 6.4.2-1
plasma-firewall 6.4.2-1
plasma-integration 6.4.2-1
plasma-meta 6.4-4
plasma-nm 6.4.2-1
plasma-pa 6.4.2-1
plasma-systemmonitor 6.4.2-1
plasma-thunderbolt 6.4.2-1
plasma-vault 6.4.2-1
plasma-welcome 6.4.2-1
plasma-workspace 6.4.2-1
plasma-workspace-wallpapers 6.4.2-1
plasma5support 6.4.2-1
pnpm 10.12.4-1
polkit 126-2
polkit-kde-agent 6.4.2-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 25.06.0-1
poppler-qt6 25.06.0-1
popt 1.19-2
portaudio 1:19.7.0-3
powerdevil 6.4.2-1
ppp 2.5.2-1
print-manager 1:6.4.2-1
prison 6.15.0-1
procps-ng 4.0.5-3
protobuf 31.1-1
psmisc 23.7-1
pulseaudio-qt 1.7.0-1
purpose 6.15.0-1
purpose5 5.116.0-1
python 3.13.5-1
python-attrs 25.3.0-1
python-beautifulsoup4 4.13.3-1
python-blinker 1.8.2-2
python-cairo 1.28.0-1
python-certifi 2025.06.15-1
python-charset-normalizer 3.4.2-1
python-click 8.1.8-1
python-decorator 5.2.1-1
python-distro 1.9.0-3
python-flask 3.1.1-1
python-flask-cors 6.0.1-1
python-gobject 3.52.3-3
python-idna 3.10-2
python-installer 0.7.0-10
python-itsdangerous 2.2.0-1
python-jinja 1:3.1.6-1
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-markdown 3.8.2-1
python-markupsafe 3.0.2-1
python-orjson 3.10.18-1
python-packaging 25.0-1
python-protobuf 31.1-1
python-psutil 7.0.0-1
python-pygdbmi 0.11.0.0-5
python-pyqt6 6.9.1-1
python-pyqt6-sip 13.10.2-1
python-pyqt6-webengine 6.9.0-1
python-pysocks 1.7.1-10
python-referencing 0.35.1-3
python-requests 2.32.4-1
python-rpds-py 0.22.3-1
python-send2trash 1.8.3-2
python-sentry_sdk 2.32.0-1
python-soupsieve 2.6-2
python-typing_extensions 4.14.1-1
python-urllib3 2.5.0-1
python-waitress 3.0.2-1
python-werkzeug 3.1.3-1
python-wheel 0.45.1-1
qbittorrent 5.1.2-1
qca-qt5 2.3.10-2
qca-qt6 2.3.10-2
qcoro 0.12.0-1
qqc2-breeze-style 6.4.2-1
qqc2-desktop-style 6.15.0-1
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-graphicaleffects 5.15.17-1
qt5-location 5.15.17+kde+r7-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-quickcontrols 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-speech 5.15.17+kde+r1-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-webchannel 5.15.17+kde+r3-1
qt5-webengine 5.15.19-2
qt5-x11extras 5.15.17-1
qt5-xmlpatterns 5.15.17-1
qt6-5compat 6.9.1-1
qt6-base 6.9.1-2
qt6-connectivity 6.9.1-1
qt6-declarative 6.9.1-1
qt6-imageformats 6.9.1-1
qt6-location 6.9.1-1
qt6-multimedia 6.9.1-1
qt6-multimedia-ffmpeg 6.9.1-1
qt6-positioning 6.9.1-1
qt6-quick3d 6.9.1-2
qt6-quicktimeline 6.9.1-1
qt6-sensors 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-speech 6.9.1-1
qt6-svg 6.9.1-1
qt6-tools 6.9.1-2
qt6-translations 6.9.1-1
qt6-virtualkeyboard 6.9.1-1
qt6-wayland 6.9.1-1
qt6-webchannel 6.9.1-1
qt6-webengine 6.9.1-1
qt6-websockets 6.9.1-1
qt6-webview 6.9.1-1
qtkeychain-qt6 0.15.0-3
raptor 2.0.16-7
rasqal 1:0.9.33-7
rav1e 0.7.1-1
re2 1:20240702-5
readline 8.2.013-2
recode 3.7.15-1
redland 1:1.0.17-9
rhash 1.4.4-1
rider 1:2025.1.2-2
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
rsync 3.4.1-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
ruby 3.4.4-2
ruby-erb 4.0.4-9
ruby-manpages 0.6.1-8
ruby-optimist 3.1.0-5
ruby-paint 2.3.0-6
ruby-rdoc 6.10.0-57
rubygems 3.6.7-2
runc 1.3.0-1
rust 1:1.88.0-1
sbc 2.0-2
sddm 0.21.0-6
sddm-kcm 6.4.2-1
sdl2-compat 2.32.56-2
sdl2_ttf 2.24.0-1
sdl3 3.2.16-1
sed 4.9-3
semver 7.7.2-1
serd 0.32.4-1
shaderc 2025.2-2
shadow 4.18.0-1
shared-mime-info 2.4-2
signon-kwallet-extension 25.04.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
slang 2.3.3-3
smartmontools 7.5-1
smbclient 2:4.22.3-1
snappy 1.2.2-2
socat 1.8.0.3-1
solid 6.15.0-1
solid5 5.116.0-1
sonnet 6.15.0-1
sonnet5 5.116.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-15
spandsp 0.0.6-5
spectacle 1:6.4.2-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.313.0-1
spotify 1:1.2.63.394-1
sqlite 3.50.2-1
sratom 0.6.18-1
srt 1.5.4-1
stremio 4.4.168-2
stremio-debug 4.4.168-2
sudo 1.9.17.p1-1
svt-av1 3.0.2-1
svt-hevc 1.5.1-3
sxhkd 0.6.2-4
syncthing 1.30.0-1
syndication 6.15.0-1
syntax-highlighting 6.15.0-1
systemd 257.7-1
systemd-libs 257.7-1
systemd-sysvcompat 257.7-1
systemsettings 6.4.2-1
taglib 2.1.1-1
talloc 2.4.3-1
tar 1.35-2
tdb 1.4.13-1
tevent 1:0.16.2-1
texinfo 7.2-1
tinysparql 3.9.2-2
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.6-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.6.2-1
tree-sitter-vim 0.6.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-hack 3.003-7
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.1-6
unibilium 2.1.2-1
unzip 6.0-22
upower 1.90.9-1
util-linux 2.41.1-1
util-linux-libs 2.41.1-1
v4l-utils 1.30.1-1
vapoursynth R70-2
verdict 1.4.2-1
vid.stab 1.1.1-2
vim 9.1.1497-1
vim-runtime 9.1.1497-1
vmaf 3.0.0-1
volume_key 0.3.12-11
